Samples: 1, Trials: 1000, Ratio: (0 / 1000) = 0.000000
Samples: 2, Trials: 1000, Ratio: (3 / 1000) = 0.003000
Samples: 3, Trials: 1000, Ratio: (9 / 1000) = 0.009000
Samples: 4, Trials: 1000, Ratio: (14 / 1000) = 0.014000
Samples: 5, Trials: 1000, Ratio: (36 / 1000) = 0.036000
Samples: 6, Trials: 1000, Ratio: (41 / 1000) = 0.041000
Samples: 7, Trials: 1000, Ratio: (49 / 1000) = 0.049000
Samples: 8, Trials: 1000, Ratio: (70 / 1000) = 0.070000
Samples: 9, Trials: 1000, Ratio: (93 / 1000) = 0.093000
Samples: 10, Trials: 1000, Ratio: (128 / 1000) = 0.128000
Samples: 11, Trials: 1000, Ratio: (128 / 1000) = 0.128000
Samples: 12, Trials: 1000, Ratio: (164 / 1000) = 0.164000
Samples: 13, Trials: 1000, Ratio: (194 / 1000) = 0.194000
Samples: 14, Trials: 1000, Ratio: (237 / 1000) = 0.237000
Samples: 15, Trials: 1000, Ratio: (276 / 1000) = 0.276000
Samples: 16, Trials: 1000, Ratio: (307 / 1000) = 0.307000
Samples: 17, Trials: 1000, Ratio: (318 / 1000) = 0.318000
Samples: 18, Trials: 1000, Ratio: (369 / 1000) = 0.369000
Samples: 19, Trials: 1000, Ratio: (373 / 1000) = 0.373000
Samples: 20, Trials: 1000, Ratio: (401 / 1000) = 0.401000
Samples: 21, Trials: 1000, Ratio: (443 / 1000) = 0.443000
Samples: 22, Trials: 1000, Ratio: (497 / 1000) = 0.497000
Samples: 23, Trials: 1000, Ratio: (522 / 1000) = 0.522000
Samples: 24, Trials: 1000, Ratio: (552 / 1000) = 0.552000
Samples: 25, Trials: 1000, Ratio: (570 / 1000) = 0.570000
Samples: 26, Trials: 1000, Ratio: (597 / 1000) = 0.597000
Samples: 27, Trials: 1000, Ratio: (639 / 1000) = 0.639000
Samples: 28, Trials: 1000, Ratio: (644 / 1000) = 0.644000
Samples: 29, Trials: 1000, Ratio: (677 / 1000) = 0.677000
Samples: 30, Trials: 1000, Ratio: (729 / 1000) = 0.729000
Samples: 31, Trials: 1000, Ratio: (745 / 1000) = 0.745000
Samples: 32, Trials: 1000, Ratio: (761 / 1000) = 0.761000
Samples: 33, Trials: 1000, Ratio: (754 / 1000) = 0.754000
Samples: 34, Trials: 1000, Ratio: (796 / 1000) = 0.796000
Samples: 35, Trials: 1000, Ratio: (813 / 1000) = 0.813000
Samples: 36, Trials: 1000, Ratio: (826 / 1000) = 0.826000
Samples: 37, Trials: 1000, Ratio: (855 / 1000) = 0.855000
Samples: 38, Trials: 1000, Ratio: (860 / 1000) = 0.860000
Samples: 39, Trials: 1000, Ratio: (884 / 1000) = 0.884000
Samples: 40, Trials: 1000, Ratio: (906 / 1000) = 0.906000
Samples: 41, Trials: 1000, Ratio: (909 / 1000) = 0.909000
Samples: 42, Trials: 1000, Ratio: (907 / 1000) = 0.907000
Samples: 43, Trials: 1000, Ratio: (913 / 1000) = 0.913000
Samples: 44, Trials: 1000, Ratio: (934 / 1000) = 0.934000
Samples: 45, Trials: 1000, Ratio: (952 / 1000) = 0.952000
Samples: 46, Trials: 1000, Ratio: (951 / 1000) = 0.951000
Samples: 47, Trials: 1000, Ratio: (952 / 1000) = 0.952000
Samples: 48, Trials: 1000, Ratio: (959 / 1000) = 0.959000
Samples: 49, Trials: 1000, Ratio: (956 / 1000) = 0.956000
Samples: 50, Trials: 1000, Ratio: (964 / 1000) = 0.964000
Samples: 51, Trials: 1000, Ratio: (977 / 1000) = 0.977000
Samples: 52, Trials: 1000, Ratio: (981 / 1000) = 0.981000
Samples: 53, Trials: 1000, Ratio: (979 / 1000) = 0.979000
Samples: 54, Trials: 1000, Ratio: (982 / 1000) = 0.982000
Samples: 55, Trials: 1000, Ratio: (987 / 1000) = 0.987000
Samples: 56, Trials: 1000, Ratio: (986 / 1000) = 0.986000
Samples: 57, Trials: 1000, Ratio: (992 / 1000) = 0.992000
Samples: 58, Trials: 1000, Ratio: (990 / 1000) = 0.990000
Samples: 59, Trials: 1000, Ratio: (993 / 1000) = 0.993000
Samples: 60, Trials: 1000, Ratio: (995 / 1000) = 0.995000
Samples: 61, Trials: 1000, Ratio: (998 / 1000) = 0.998000
Samples: 62, Trials: 1000, Ratio: (997 / 1000) = 0.997000
Samples: 63, Trials: 1000, Ratio: (995 / 1000) = 0.995000
Samples: 64, Trials: 1000, Ratio: (998 / 1000) = 0.998000
Samples: 65, Trials: 1000, Ratio: (999 / 1000) = 0.999000
Samples: 66, Trials: 1000, Ratio: (999 / 1000) = 0.999000
Samples: 67, Trials: 1000, Ratio: (999 / 1000) = 0.999000
Samples: 68, Trials: 1000, Ratio: (998 / 1000) = 0.998000
Samples: 69, Trials: 1000, Ratio: (1000 / 1000) = 1.000000
Samples: 70, Trials: 1000, Ratio: (999 / 1000) = 0.999000
